Row,Listing title,Property Manager/Host,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
34,Private Flagstaff Duplex w/ Spa & Fire Pit,REBL Rentals,,+16025500422,https://reblrentals.com/contact-us/; https://www.provenexpert.com/en-us/rebl-rentals/,Medium,Host search found REBL Rentals' public contact and business profile sources with a visible phone.,manager,REBL Rentals,https://reblrentals.com/,,,
35,The Juniper-Gathering Tree's Ultimate 12 suite D,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
36,Paradise Castle+PickleballCrt+Putt+SpaRoom+GameRm,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
37,Live the High Life - Lavish Scottsdale Home,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
38,Scottsdalestays 9BDRM Multimillion Estate-Pool-Spa,238954779,,+14803184923,https://scottsdalestays.com/contact-us/,High,"Repeated numeric host group titles explicitly reference ScottsdaleStays, and the official contact page lists this phone.",manager,ScottsdaleStays,https://scottsdalestays.com/,,,
39,Million $ Desert Dream + Waterslide + Pickleball Court + Golf,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
40,Luxe Desert Compound | Private Heated Pool,Heirloom,,+15045070523,https://stayheirloom.com/terms-of-service/,Medium,Duplicate host group search found Stay Heirloom's official terms page with a visible phone; reused across same host rows.,manager,Stay Heirloom,https://stayheirloom.com/,,,
41,"Pet Friendly, Extravagant North Scottsdale Estate - Theater, Bball & more!",VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
42,ParadiseValleyMillion$ Estate+Golf+Boccee+Casita,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
43,"Scottsdale Fabulous: Golf & MT Views, Pvt Htd POOL w/Waterfall, Game Room, TVs & King Beds All BRs",Arizona Vacation Home Rentals,,+14804707739,https://azvacationhomerentals.com/,Medium,Duplicate host group search found Arizona Vacation Home Rentals' public site with a visible phone; reused across same host rows.,manager,Arizona Vacation Home Rentals,https://azvacationhomerentals.com/,,,
44,"Phoenician Villa | Sauna, Pool & Spa",AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
45,Paradise Canyon-Infinity Pool-Mnt Views-Estate 3,GoodNight Stay,,+14805626226,https://www.experiencescottsdale.com/listing/goodnight-stay/49464/; https://goodnightstay.com/,Medium,Duplicate host group search found public GoodNight Stay business and direct booking sources with a visible phone.,manager,GoodNight Stay,https://goodnightstay.com/,hello@goodnightstay.com,,
46,Scottsdale 9BR HÓZHÓ Haven,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
47,The Hozho Horizon Estate,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
48,SWSS Pool • Golf Simulator • Sauna • Cold Plunge,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
49,"Arcades,Golf,Pickleball,Theater,Gym &Swim-up Bar!",Porter VRM,,+18664682531,https://www.stayporter.com/,Medium,Duplicate host group search found Porter's direct booking site with a visible phone; reused across same host rows.,manager,Porter,https://www.stayporter.com/,,,
50,The Hozho Serenity Estate,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
51,Scottsdale Desert Retreat: 8BR Secluded Paradise,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
52,Paradise Palace - 9BR Premier Private Compound,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
53,SWSS Pool • Water Slide • Tennis & Pickleball,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
54,Renovated | Famous Cabin | Hot Tub | AC | Mountain,Dwell Rentals,,+19286992866,https://local.yahoo.com/info-199186036-dwell-luxury-rentals-flagstaff; https://www.comparent.com/host/dwell-luxury-rentals,Low,Host search found public business and host profile sources for Dwell Luxury Rentals with a visible phone.,manager,Dwell Luxury Rentals,,,,
55,SWSS 2 Homes • Pool • Splash Pad • Putting Green,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
56,The Hozho Tranquility Estate,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
57,Be in the Heart of Scottsdale with a Heated Pool!,30487894,Desert Palms,+14806258631,https://www.airbnb.com/rooms/603526711316509149; https://www.hazvacationrentals.com/contact-us/,Medium,"Exact Airbnb listing research tied the property to HAZ Vacation Rentals, whose official contact page lists this phone.",manager,HAZ Vacation Rentals,https://www.hazvacationrentals.com/,support@hazvacationrentals.com,,
58,The Ponderosa-Gathering Tree's Deluxe Group Stay,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
59,2 Homes in 1 | Pickleball Court + Hidden Speakeasy,Excelsior Stays,Serenity Scottsdale,+16232157269,https://exclstays.com/; https://exclstays.guestybookings.com/,Medium,"Exact title and host search tied the listing to Excelsior Stays, whose direct booking sources list this phone.",manager,Excelsior Stays,https://exclstays.com/,Stay@excelsiorstays.com,,
60,"HÓZHÓ on Course with Pool, Courts and Fire Pit",482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
61,"7BR in PV | Heated Lazy River, Spa, Gym & Theater",Revana Realty,,+18884751465,https://revanarealty.com/property-management/,Medium,Duplicate host group search found Revana Realty's property management page with a visible phone; reused across same host rows.,manager,Revana Realty,https://revanarealty.com/,Contact@RevanaRealty.com,,
62,"Luxury Oasis | Lazy River, Pool & Sport Court",AZHolidayRental,,+18005303660,https://www.holidayrental.com/contact/,Medium,"Duplicate host group search tied AZHolidayRental listings to HolidayRental.com, whose official contact page lists this phone.",manager,HolidayRental.com,https://www.holidayrental.com/,,,
63,Pickleball | Game Room | Hot Tub | Playground,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
64,The Aspen-Gathering Tree's Family Reunion Deluxe,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
65,Travelers Dream Oasis+JumpmanPicklball+Golf+Bocce,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
66,"Scottsdale 10BR Desert Oasis: Pool, Hot Tub & More",15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
67,Thunderbird House and Casita with Pool,I Love Vacations - Scottsdale,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
68,The Flagstaff Retreat,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
69,The Spruce-Gathering Tree is your Ultimate Famil,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
70,"Outdoor Oasis, Games! Paradise Valley Group Villa",Evolve,,+18778181014,https://www.allbiz.com/business/evolve-vacation-rental_35-877-818-1014; https://www.evolve.com/,Low,Host search found an Evolve business profile phone and the official Evolve site confirmed the matching manager brand.,manager,Evolve,https://www.evolve.com/,,,
71,4Million Waterslide+Theatre+Gym+SportCourt,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
72,HOZHO Estate on Shea,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
73,Multi-Million$ResortOasis w/Pickleball+Volley+Golf,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
74,SWSS Pool • Hot Tub • Volleyball • Sport Court,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
75,Casablanca Gardens by LuxeKey | Pool & Pickleball,LuxeKey,,+14803822072,https://www.crunchbase.com/organization/luxekey; https://luxekey.com/,Low,Host search found a third-party business profile phone for LuxeKey and the official LuxeKey site confirmed the matching company.,manager,LuxeKey Vacation Rentals,https://luxekey.com/,,,
76,Pickleball | Basketball | Game Room | Golf Course,Resort Style Vacation Homes,,+16232270127,https://www.resortstyle.com/contact-us; https://www.resortstyle.com/,Medium,Duplicate host group search found Resort Style Vacation Homes' official contact page with a visible phone; reused across same host rows.,manager,Resort Style Vacation Homes,https://www.resortstyle.com/,info@resortstylevacationhomes.com,,
77,SWSS • Resort Oasis • Pool • Atrium • Sport Court,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
78,Large Luxe Estate | Exclusive Views Near Old Town,Desert Vista Luxury Homes,,+14802005093,https://www.dvluxury.com/,Medium,Duplicate host group search found Desert Vista Luxury Homes' official site with a visible phone; reused across same host rows.,manager,Desert Vista Luxury Homes,https://www.dvluxury.com/,info@dvluxury.com,,
79,Opulent 11-Bedroom Scottsdale Estate with Private,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
80,Award-Winning Ritz Carlton Golf Green Estate|Sauna,Rental Advisor,,,,,"No confirmed public phone found through title, host, listing ID, or property fingerprint search; phone left blank.",,,,,,
81,HÓZHÓ Thunderbird | Pool | Pickleball | Slide,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
82,The Ultimate Village - Gathering Tree's Estate,6571387,,+19282754032,https://www.gatheringtree.com/availability,Medium,"Repeated numeric host group titles matched Gathering Tree properties, and the official Gathering Tree availability page lists this phone.",manager,Gathering Tree,https://www.gatheringtree.com/,nicole@gatheringtree.com,,
83,"HÓZHÓ Paradise Palms Theater, Pickleball & Slide",482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
84,"Scottsdale Oasis: Lazy River, Hot Tub, Sport Court",217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
85,SWSS Pool • Hot Tub • Sport Court • Sleeps 24,StayWithStyleScottsdale,,+14808186559,https://www.staywithstylescottsdale.com/contact-us/,Medium,Duplicate host group search found the official Stay With Style Scottsdale contact page with a visible phone; reused across same host rows.,manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/,office@staywithstylescottsdale.com,,
86,NEW! Meticulous Manor - Scottsdale`s Finest Luxury,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
87,HÓZHÓ Kings Place | Private Pool & Theater Gem,15015202,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
88,HÓZHÓ Resort-Style Desert Escape w/ Pool & Cabana,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
89,Multimillion $ ResortVilla+Waterslide+Pickleball+,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
90,"ADA Access, Htd Pool, Spa, Putt Green, Fire Pit",Arizona Vacation Home Rentals,,+14804707739,https://azvacationhomerentals.com/,Medium,Duplicate host group search found Arizona Vacation Home Rentals' public site with a visible phone; reused across same host rows.,manager,Arizona Vacation Home Rentals,https://azvacationhomerentals.com/,,,
91,"Charming Desert Retreat w/ pickle-ball, gym,",VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
92,HÓZHÓ Riviera Oasis | Pool | Pickleball | Theatre,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
93,WaterslideLuxury+3 houses+SportCrt+Shuffle+GolfSpa,List My Rental Home,,+12174932929,https://www.listmyrentalhome.com/contact,Medium,Duplicate host group search found the official List My Rental Home contact page with a visible phone; reused across same host rows.,manager,List My Rental Home,https://www.listmyrentalhome.com/,gm@listmyrentalhome.com,,
94,HÓZHÓ River | Pool | Hot Tub | Lazy River,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
95,NEW! Limitless Luxury - 7 BR - Pickleball/Pool/Spa,VacayAZ,,+14805901655,https://www.vacayaz.com/contact/,Medium,Duplicate host group search found the official VacayAZ contact page with a visible phone; reused across same host rows.,manager,VacayAZ,https://www.vacayaz.com/,bookings@vacayaz.com,,
96,Elite Scottsdale Retreat: Putting Green & Theater,217908712,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
97,HÓZHÓ Sunnyside | Lazy River | Indoor Pickleball,482928211,,+14805040883,https://stayhozho.com/booking-information/,Medium,"Repeated numeric host group titles and property fingerprints matched HOZHO Scottsdale, and the official booking page lists this phone.",manager,HOZHO Scottsdale,https://stayhozho.com/,,,
