Row,Listing title,Property Manager/Host,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
12,Paradise Valley Estate,73347506,13149139,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
13,Mansion on the Mountain,88946357,14445177,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
14,Private Mansion Estate with Pool and Mini Golf,88985247,14448956,Westland,+18334428268,https://avantstay.com/listings/westland; https://avantstay.com/,High,Yandex visual search matched the property photos to Westland by AvantStay. The official AvantStay contact phone is +18334428268.,manager,AvantStay,https://avantstay.com/,experience@avantstay.com,,
15,"Scottsdale Family Estate: Pool, Spa & Pickleball",34603803,15059264,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
16,The Oasis Scottsdale - Award-Winning Resort Home,4860447,15820561,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
17,The Cactus Stone | 9 Bedroom 6.5 Bathroom 16+ Beds,89430697,16450639,Cactus Stone,+14804446930,https://lvrstays.com/; https://www.airbnb.com/rooms/16450639,Medium,"The Airbnb listing identifies the host's work as LVRstays, and the official LVRstays site lists Cactus Stone with this phone.",manager,LVRstays,https://lvrstays.com/,alex@lvrstays.com,,
18,"Luxury - Pool & Spa, 7 Bd. 4 Bth 4300 sq ft VIEWS!",147676453,20650707,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
19,The Blue Cove Oasis | 8 Bedroom 7 Bathroom 17+Beds,89430697,37568848,Blue Cove Mansion,+14804446930,https://lvrstays.com/,Medium,"Exact title match tied Blue Cove to LVRstays, and the official LVRstays site lists Blue Cove Mansion with this phone.",manager,LVRstays,https://lvrstays.com/,alex@lvrstays.com,,
20,"Camelback Mountain Mansion in Paradise Valley, AZ",290616500,38241569,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
21,The Sundown Estate,292608091,38406741,Sundown Retreat,+14808186559,https://www.staywithstylescottsdale.com/listings/sundown-retreat/; https://www.staywithstylescottsdale.com/contact-us/,Medium,"Exact title match tied this listing to Stay With Style's Sundown Retreat, and the public contact page lists this phone.",manager,Stay With Style Scottsdale,https://www.staywithstylescottsdale.com/listings/sundown-retreat/,office@staywithstylescottsdale.com,,
22,Entertainment Oasis,292608091,38406831,Entertainment Oasis,+16232270127,https://www.resortstyle.com/listings/186370; https://www.resortstyle.com/contact-us,Medium,"Exact title match found the Entertainment Oasis page on Resort Style Vacation Homes, and the official contact page lists this phone.",manager,Resort Style Vacation Homes,https://www.resortstyle.com/listings/186370,info@resortstylevacationhomes.com,,
23,"Cactus Casa! Pool/spa, game rm, putt Grn, 8 Bdr, 6",303904458,39553376,The Cactus Casa,+17602129568,https://www.cloud9luxuryretreats.me/,High,"Yandex visual search and exact title match tied the property to The Cactus Casa managed by Cloud9 Luxury Retreats, whose official contact phone is +17602129568.",manager,Cloud9 Luxury Retreats,https://www.cloud9luxuryretreats.me/,cloud9luxuryretreats@gmail.com,,
24,"8BR Luxury Estate: Pool, Splash Pad & Pickleball",HolidayRental.com,39893220,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
25,Luxury 8BR | Pickleball & Heated Pool + Spa,HolidayRental.com,39893321,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
26,3 houses for your big group~VIEW~PETS~boat parking,5245520,41090061,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
27,6Br/5bath-Multimillion Dollar Resort in Scottsdale,373565992,46093049,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
28,The Estate at Gold Dust,82189953,46641901,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
29,"*Huge Cabin Near Woodland Lake, Sleeps 36",143579158,46854293,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
30,BEST LOCATION 6 BATHS GOLF HEATED POOL SPA & BBQ!,228734491,47911878,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
31,6 Cabins with Kitchens+Gameroom&Playground,Wooden Nickel Cabins,48317305,Wooden Nickel Cabins,+19284784519,https://woodennickelcabins.com/contact-us/; https://www.expedia.com/Payson-Hotels-Rent-The-Entire-Resort-5-Cabins-Plus-Game-Room.h64902926.Hotel-Information,High,"Exact title match tied the Airbnb listing to Wooden Nickel Cabins, and the official Wooden Nickel contact page lists this phone.",property,Wooden Nickel Cabins,https://woodennickelcabins.com/,,,
32,3 Million Dollar Mansion #1 BEST VIEWS Movie Pool,374668104,50745866,Casa Panoramic Views,+19283161390,https://www.luxxhomevacations.com/listing?a=50745866; https://www.luxxhomevacations.com/about-us,Medium,"Exact listing ID match found the LuXXHome property page for this mansion, and LuXXHome lists this phone publicly.",manager,LuXXHome Vacation Rentals,https://www.luxxhomevacations.com/listing?a=50745866,,,
33,♥Luxe Villa♥ Pickleball♥ Salt Pool♥ Golf♥Bball♥BBQ,306990060,50792666,Luxe Villa,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
34,♥Five Star♥Lux Resort♥Water-Slide♥PickleBall♥Golf♥,306990060,50874678,Five Star Lux Resort,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
35,♥Idyllic Resort♥ Water Slide♥ Pickleball♥ Golf♥ BBQ♥ Spa,328087660,50933917,Idyllic Resort Villa,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
36,Multi-Million Dollar Luxury Resort Estate/Sleeps18,399226186,51520493,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
37,The Carriage Place Mansion,87597865,51930360,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
38,"7BR Scottsdale Estate | Heated Pool, Spa & Sauna",HolidayRental.com,52243423,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
39,MockingJay,328087660,52513449,MockingJay,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
40,Vacation paradise Family reunions Business retreat,59529414,53295598,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
41,Desert Pickle-ball Paradise in Scottsdale,91015483,53403710,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
42,Relax in style at a luxury Flagstaff lodge,368718189,53783795,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
43,Private 2-Acre Scottsdale Oasis,30858880,54340304,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
44,Lux Scottsdale/ Carefree family retreat golf pool,383155612,54408793,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
45,"VIEWS 9400 SQ FT Mansion Infinity Slide Pool, MVIE",374668104,563978014938460765,,+19283161390,https://www.luxxhomevacations.com/; https://www.luxxhomevacations.com/about-us,Medium,Exact mansion title appears on LuXXHome's public inventory and LuXXHome lists this phone publicly.,manager,LuXXHome Vacation Rentals,https://www.luxxhomevacations.com/,,,
46,Resort Backyard | Lakeviews | Near Riviera Marina,158774122,583438115830632696,Resort Backyard | Lakeviews | Near Riviera Marina,+19096361922,https://www.havasuluxstays.com/; https://meetthehunters.net/,High,"Yandex visual search and title match linked this Lake Havasu property to Havasu Lux Stays, owned by Matt and Lisa Hunter. Their official contact phone is +19096361922.",manager,Havasu Lux Stays,https://www.havasuluxstays.com/,info@meetthehunters.net,,
47,♥Old Town Luxury♥Swim Up Bar♥Pickle-ball♥Golf♥Spa♥,328087660,619678046828836910,Old Town Luxury,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
48,The Desert Cove 14 Beds+Pool+Hot tub+Putt+Casita,493044572,641948145300815391,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
49,Desert Bachelor Oasis-Golf-Arcade Games-Volleyball,449859814,653612998215005335,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
50,♥High Style Villa❚SwimBar❚PickleBall❚Old Town❚Spa♥,306990060,666614248087575597,High Style Villa,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"Host accounts are linked to The Aerie Collection's Scottsdale portfolio, whose official contact page lists this phone.",manager,The Aerie Collection,https://www.theaeriecollection.com/,braxtoncollection@gmail.com,,
51,7BR Forest Estate | Hot Tub · Volleyball · Sleeps,472077633,681178880899806223,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
52,Massive Modern Desert Beauty in Scottsdale,419199265,716812581234770969,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
53,View ~ATV~Karaoke Bar ~Kayaks/Bikes ~Hot Tub/Sauna,341516015,734136588867847427,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
54,"Scottsdale Luxury: Pool, Golf, Tennis/Pickleball",483024471,734684870499632090,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
55,Multi-Million $ Resort-Style Estate w/Pickleball,104028805,750851068479344247,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
56,Luxury Estate~Resort Backyard~Pool/Spa~Pickleball,486912742,755820874037012535,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
57,Private 5-Acre Retreat w/ Pickleball & Hot Tub,HolidayRental.com,759481444833195113,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
58,The Big Dog | Custom Estate | Heated Pool & Spa,112689840,763034296118607538,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
59,MockingJay | Scottsdale Estate | WaterSlide | PBal,490609566,777608472875567200,MockingJay,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"The Aerie's Scottsdale properties page lists MockingJay, and the public contact page lists this phone.",manager,The Aerie,https://www.theaeriecollection.com/scottsdale-properties,braxtoncollection@gmail.com,,
60,The Aerie | 2 min OldTown | Swimbar+Spa | P-ball,490609566,778286857772699369,The Aerie,+16172850319,https://www.theaeriecollection.com/scottsdale-properties; https://www.theaeriecollection.com/contact-us,Medium,"The Aerie's Scottsdale properties page lists The Aerie, and the public contact page lists this phone.",manager,The Aerie,https://www.theaeriecollection.com/scottsdale-properties,braxtoncollection@gmail.com,,
61,"The Scottsdale Haven w Heated Pool, 7 bed/7 bath",4334574,785614566736575463,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
62,Luxury 7BR Dream Villa Top of Camelback Best Views,Luxe Homes,806658763044268066,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
63,AwardWinning RitzCarlton GolfChâteau|50%offMay-Nov,501396425,828291954494606959,Grand Venetian Palace,+16026206249,https://grandvenetianpalace.com/,High,"Yandex visual search matched the property photos to grandvenetianpalace.com, whose official reservations contact phone is +16026206249.",property,Grand Venetian Palace,https://grandvenetianpalace.com/,reservations@grandvenetianpalace.com,,
64,"The 19th Hole: Pool, Spa, Pool Table, Sauna!",520218715,917458015210307634,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
65,"Large Cabin, 17 Acres | Playground | Forest Access",248909842,954583143517845100,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
66,"Large Cabin, 17 Acres | Playground | Forest Access",248909842,954583143517845100,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
67,"8BR/9BA Desert Oasis: Pool, Sand Beach & Game Barn",525152848,955286605424179513,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
68,"7BR Resort Estate | Pool, Pickleball & Views",HolidayRental.com,963790357909900606,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
69,"Kierland Oasis W/ Pickleball, Pool & Putting Green",396393429,967509826217894978,Kierland Oasis,+13603050884,https://kierlandoasisaz.com/; https://oasishomerentals.com/,High,"Yandex visual search tied the property to kierlandoasisaz.com, which is owned by Oasis Home Rentals. Their official contact phone is +13603050884.",manager,Oasis Home Rentals,https://kierlandoasisaz.com/,timandsharon@oasishomerentals.com,,
70,Elite Luxury Pickleball Palace-Heated Pool,100976080,969551303883070613,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
71,Modern Mansion|Heated Pool & Spa|Game+Movie Room,539424614,990655154033422201,,+16027175451,https://www.turnkey-home.com/contact,Medium,"Exact Airbnb listing research ties the property to Turn Key Concierge, and the official contact page lists this phone.",manager,Turn Key Concierge,https://www.turnkey-home.com/contact,contact@turnkey-home.com,,
72,Lake Havasu Lagoon,97696230,1009503596567019771,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
73,8BR Families Groups sleeps 16+ Hot Tub - Game room,547587646,1029949376513853647,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
74,Desert Diamond HTD Pool/Hot Tub/Tennis/BBall/Sauna,484563587,1077813310260513265,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
75,Oak View Inn A Newly Renovated Luxury Guest House,567771776,1115368828074908781,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
76,"WOW-Views! 7 Bd, 6 bth Infinity Pool&Spa 7000 sqft",147676453,1147282516982245875,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
77,Casa de Camelback- Views and location!,389513245,1169747159491685881,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
78,Luxury Scottsdale Villa with Pool & Spa,180522709,1183852806011068462,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
79,Pickleball | Pool • Spa • Sleeps 26 | Near Marina,158774122,1222098788094563970,The RH Resort,+19096361922,https://www.havasuluxstays.com/; https://meetthehunters.net/,High,"Yandex visual search and title match linked this Lake Havasu property to Havasu Lux Stays, owned by Matt and Lisa Hunter. Their official contact phone is +19096361922.",manager,Havasu Lux Stays,https://www.havasuluxstays.com/,info@meetthehunters.net,,
80,Luxe PV Estate • Sleeps 16 • Resort Yard & Pool,560921243,1238590817847283488,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
81,The Showstopper Escape,657563050,1269286452215821303,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
82,Iconic Views w/Pickleball & Gameroom | Pool & Spa,158774122,1288472630280657707,Iconic Views w/Pickleball & Gameroom | Pool & Spa,+19096361922,https://www.havasuluxstays.com/; https://meetthehunters.net/,High,"Yandex visual search and title match linked this Lake Havasu property to Havasu Lux Stays, owned by Matt and Lisa Hunter. Their official contact phone is +19096361922.",manager,Havasu Lux Stays,https://www.havasuluxstays.com/,info@meetthehunters.net,,
83,Luxury Estate Acre Lot-Pickleball-Pool-Spa-Gym,8945407,1314575510263216526,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
84,Luxury 5-BR Flagstaff Cabin,80594799,1319680092212909861,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
85,GolfSim | Theatr | HotTub | 4 KingSuites | 6 Bunks,459783472,1324036086365947403,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
86,GolfSim | Theatr | HotTub | 4 KingSuites | 6 Bunks,459783472,1324036086365947403,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
87,The Vale & Sage | Luxury Private Resort Home,363852213,1339242627641411557,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
88,7BR Lux Pool & Pickleball Oasis w/Speakeasy,900222,1342436588176503315,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
89,Luxe Scottsdale Getaways | Golf View. Pool & Spa,Scottsdale Villas,1345042628126394618,The Scottsdale Resort & Spa,+14809919000,https://www.thescottsdaleresort.com/contact-us; https://www.thescottsdaleresort.com/luna-spa/lifestyle-memberships,Medium,"Property fingerprint search matched the listing to The Scottsdale Resort & Spa villas, and the official resort site lists this reservations phone.",manager,The Scottsdale Resort & Spa,https://www.thescottsdaleresort.com/,scottsdaleresortfd@dhmhotels.com,,
90,"Luxury 6,000+ sq ft Hideaway with Heated Pool, Spa",380749045,1353919194026569025,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
91,Entertainers Paradise! $6M Estate with Lagoon Pool,104028805,1354532747362290532,,+18005303660,https://www.holidayrental.com/contact/,Medium,Listing is managed by HolidayRental.com and the official HolidayRental contact page lists this phone.,manager,HolidayRental.com,https://www.holidayrental.com/,,,
92,"Hot Tub, Grill, Fire Pit | 25 mins to Grand Canyon",428903564,1371285680815890803,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
93,The Big Deck Home Pickleball  Arcade  Hot Tub Pets,547587646,1390643911852394476,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
94,Rock Creek Ranch,224226484,1426375609331601752,Rock Creek Ranch,+14807731855,https://travelwhitewhale.com/events/; https://travelwhitewhale.com/contact-us/,Medium,"White Whale's Rock Creek Ranch events page names the property directly, and the White Whale contact page lists this phone.",manager,White Whale Properties,https://travelwhitewhale.com/events/,contact@travelwhitewhale.com,,
95,Rock Creek Ranch,224226484,1426375609331601752,Rock Creek Ranch,+14807731855,https://travelwhitewhale.com/events/; https://travelwhitewhale.com/contact-us/,Medium,"White Whale's Rock Creek Ranch events page names the property directly, and the White Whale contact page lists this phone.",manager,White Whale Properties,https://travelwhitewhale.com/events/,contact@travelwhitewhale.com,,
96,"[The Grandview] Pool, Pickleball, Hot Tub, Views",98537285,1436609231195398676,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
97,Luxury Retreat • Hot Tub • Games,486912742,1461902864732258855,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
98,Lincoln Villa | 7 Bedroom 5.5 Bath 12+ Beds,89430697,1496405343001968622,Lincoln Villa,+14804446930,https://lvrstays.com/; https://lvrstays.com/book-now/,Medium,"Exact property match tied Lincoln Villa to LVRstays, and the official LVRstays site lists this phone.",manager,LVRstays,https://lvrstays.com/book-now/,alex@lvrstays.com,,
99,"Luxury Resort Retreat, Your Private Escape",392695505,1534142511199506165,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
100,"Mansion Toscania: ultra-luxury 10-Bds, 10.5 Baths",727918192,1548884418977602060,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
101,Indoor Pickleball | Hot Tub & Sauna | Sleeps 22,574828325,1550283602874908175,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
102,Massive 7bd Rsrt | Bunkroom • Slps 28 | Pool & Spa,158774122,1565568181308368429,Massive 7bd Rsrt | Bunkroom • Slps 28 | Pool & Spa,+19096361922,https://www.havasuluxstays.com/; https://meetthehunters.net/,High,"Yandex visual search and title match linked this Lake Havasu property to Havasu Lux Stays, owned by Matt and Lisa Hunter. Their official contact phone is +19096361922.",manager,Havasu Lux Stays,https://www.havasuluxstays.com/,info@meetthehunters.net,,
103,"$10M Estate - Heated Pool, Huge Spa, Sleeps 22",684510645,1580042023712880768,Adobe Arizona Home w/ City & Mountain Views,+18778181014,https://evolve.com/vacation-rentals/435038,Medium,"Yandex visual search tied the listing to Evolve listing 435038, which is managed by Evolve Vacation Rental. Their official contact phone is +18778181014.",manager,Evolve Vacation Rental,https://evolve.com/vacation-rentals/435038,,,
104,Birdie House - Scottsdale,685246542,1600126245444532540,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
105,8 Bedroom | Game Room | Gym | Spa | Heated Pool,,3501002ha,8 Bedroom | Game Room | Gym | Spa | Heated Pool,+16232270127,https://www.resortstyle.com/listings/186372; https://www.resortstyle.com/contact-us,Medium,"Exact title match found the Resort Style property page for this home, and the official contact page lists this phone.",manager,Resort Style Vacation Homes,https://www.resortstyle.com/listings/186372,info@resortstylevacationhomes.com,,
106,"3 houses for your multi-family group, 🏜VIEW🐶PETS🚤boat parking",,4838935ha,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
