Row,Listing title,Property Manager/Host,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Contact,Website,Email,Social media link,Social media type
12,"Sweet Seas Cottage & CH - South of 30A! Close to the Beach, Coquina Pool & Town Center!",Rosemary Beach Cottage Rental Company,1832207,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
13,Enchanted Cottage & CH - Luxury Home! Private Pool & Courtyard!,Rosemary Beach Cottage Rental Company,1832478,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
14,Blue Heron Bliss Cottage & Carriage House - South of 30A! Free Bikes/Fitness/Tennis!,Rosemary Beach Cottage Rental Company,1832479,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
15,"20% OFF SPRING! Private Pool, Elevator, Sleeps 20, Bob Sikes Cut!",,1998819,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
16,"Luxury Gulf-Front Home with Private Pool, Hot Tub, Game Room and Beach Access",360 Blue,2069771,,+18775502017,https://www.naturalretreats.com/content/360blue/us/en/about-us/contact-us.html,Medium,Duplicate Property Manager/Host group found official 360 Blue contact page with visible guest phone; reused across same host rows.,manager,360 Blue,https://www.360blue.com/,,,
17,Oceanfront | Completely Renovated Historic Home | Huge Balcony Amazing Ocean Views,Amelia Island Getaways,2275500,,+19043106731,https://www.ameliaisland.com/partners/amelia-island-getaways/,Medium,Duplicate Property Manager/Host group found Amelia Island tourism partner page for Amelia Island Getaways with phone; reused across same host rows.,manager,Amelia Island Getaways,https://www.ameliaislandgetaways.com/,,,
18,"WaterColor Retreat: Private Pool, Golf Cart, Bikes, and Serene Luxury!",Sanders Beach Rentals,2319322,,+18664603195,https://www.sandersbeachrentals.com/,Medium,Duplicate Property Manager/Host group found Sanders Beach Rentals official site with public phone; reused across same host rows.,manager,Sanders Beach Rentals,https://www.sandersbeachrentals.com/,,,
19,"Luxury WaterColor Home with Private Pool, Electric Cart, Bikes & Beach Club Access",Sanders Beach Rentals,2573061,,+18664603195,https://www.sandersbeachrentals.com/,Medium,Duplicate Property Manager/Host group found Sanders Beach Rentals official site with public phone; reused across same host rows.,manager,Sanders Beach Rentals,https://www.sandersbeachrentals.com/,,,
20,Looking Glass Cottage & Carriage House,Rosemary Beach Cottage Rental Company,2582938,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
21,"STEPS TO BEACH! SLEEPS 20! PRIVATE POOL, Bikes, Fire Pit, GULF VIEWS",Southern Holiday Homes,2670991,,+18507391667,https://www.southernholidayhomes.com/about-us/,Medium,Duplicate Property Manager/Host group found Southern Holiday Homes official about page with public phone; reused across same host rows.,manager,Southern Holiday Homes,https://www.southernholidayhomes.com/,,,
22,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,2697759,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
23,"Island Life: Beachfront home, Sleeps 28, Pool, Pet-friendly, All the amenities!",Cape & Coast Vacation Rentals,2697761,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
24,"Windsong: East End Beachfront home, Pool, Pet-Friendly, Sleeps 26!",Cape & Coast Vacation Rentals,2697762,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
25,"Beach Blast: Luxury Beachfront Home, Private Pool, Pet-Friendly, Hot Tub",Cape & Coast Vacation Rentals,2697766,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
26,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,2697796,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
27,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,2700232,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
28,Key West Oasis - Truman Annex Estate,Conch Collection,2700590,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
29,"Luxury Pet-Friendly Home with Private Pool & Hot Tub, Golf Cart, Bikes, & Private Beach Club Passes",Sanders Beach Rentals,2734919,,+18664603195,https://www.sandersbeachrentals.com/,Medium,Duplicate Property Manager/Host group found Sanders Beach Rentals official site with public phone; reused across same host rows.,manager,Sanders Beach Rentals,https://www.sandersbeachrentals.com/,,,
30,"Luxury Town Center Residence | Sky Pool, Rooftop Terrace, Complimentary Fitness & Tennis",Rosemary Beach Cottage Rental Company,2753274,,+18448655783,https://therosemarybeachinn.com/faqs,Medium,Duplicate Property Manager/Host group found Rosemary Beach Inn FAQ naming Rosemary Beach Cottage Rental Company as property manager with phone.,manager,Rosemary Beach Cottage Rental Company,https://rosemarybeach.com/rentals/rosemary-beach-cottage-rentals/,rentals@rosemarybeach.com,,
31,Oceanfront | Luxury Beachfront Home | Wall to Wall Folding Glass Doors Opening to Private Pool Deck,Amelia Island Getaways,2765103,,+19043106731,https://www.ameliaisland.com/partners/amelia-island-getaways/,Medium,Duplicate Property Manager/Host group found Amelia Island tourism partner page for Amelia Island Getaways with phone; reused across same host rows.,manager,Amelia Island Getaways,https://www.ameliaislandgetaways.com/,,,
32,"Gulf-Front Home with Rooftop Deck, Theater, Pool and Private Beach Access",360 Blue,2812166,,+18775502017,https://www.naturalretreats.com/content/360blue/us/en/about-us/contact-us.html,Medium,Duplicate Property Manager/Host group found official 360 Blue contact page with visible guest phone; reused across same host rows.,manager,360 Blue,https://www.360blue.com/,,,
33,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,3125496,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
34,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,3142674,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
35,"Above The Cut- Ocean View, Bob Sikes Cut, Private Pool, Hot Tub",,3207797,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
36,Old Town Caribbean Estate Key West -  Great for Groups - Private Pool - Sleeps 21,Vacation Homes of Key West,3238800,,+13052947358,https://ns3.vacationhomesofkeywest.com/contact-us.html,Medium,Duplicate Property Manager/Host group found Vacation Homes of Key West contact page with local phone; reused across same host rows.,manager,Vacation Homes of Key West,https://vacationhomesofkeywest.com/,info@vhkw.com,,
37,"Beach Glass: Beachfront, Private Pool, Pet Friendly, 6 Suites!",Cape & Coast Vacation Rentals,3560869,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
38,Rosemary Bespoke: Gulf Views & Private Pool | 7BR Masterpiece | Rooftop Deck with Panoramic Views,30A Beach Properties,3740223,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
39,All Tide Up|Easy Beach Access|Stunning Gulf Views|Private Pool,Echelon Luxury Properties,3771978,,+18888435893,https://eluxuryproperties.com/,Medium,Duplicate Property Manager/Host group found ELP Luxury Vacations official site with public phone; reused across same host rows.,manager,ELP Luxury Vacations,https://eluxuryproperties.com/,,,
40,"Luxury Beachfront Home with Guesthouse, Heated Pool & Spa, Putting Green, East Beach Oasis!",,3926386,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
41,"Luxurious Seagrove Home with Private Pool, Elevator, Gourmet Kitchen, Bikes, & Steps to Beach!",Sanders Beach Rentals,4009752,,+18664603195,https://www.sandersbeachrentals.com/,Medium,Duplicate Property Manager/Host group found Sanders Beach Rentals official site with public phone; reused across same host rows.,manager,Sanders Beach Rentals,https://www.sandersbeachrentals.com/,,,
42,"Neap Tide *Brand New* Six-Bedrooms Six Bath Private Home, Pool, and Hot Tub",,4016028,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
43,"Wavesong: Brand New Build, Beachfront, Private Pool, Pet Friendly, East End",Cape & Coast Vacation Rentals,4019590,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
44,"BEACH FRONT Marlin House Custom, Heated Private Pool, 10BR, Sleeps 22",Sandpiper Vacation Rentals,4053718,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
45,Tropical Village: 12BD/9BA Enclave for Large Groups. Gated. Pool/Hot Tub/Garden,Rent Key West Vacations,4077529,,+13052940990,https://web.keywestchamber.org/prod/Vacation-Rentals/Rent-Key-West-Vacations%2C-Inc-1457,Medium,Duplicate Property Manager/Host group found Key West Chamber listing for Rent Key West Vacations with phone; reused across same host rows.,manager,Rent Key West Vacations,https://www.rentkeywest.com/,,,
46,4th of July week now available as a Friday or Saturday check in!,Cape & Coast Vacation Rentals,4183729,,+18772384745,https://www.capeandcoast.com/contact-us,Medium,Duplicate Property Manager/Host group found Cape & Coast official contact page with phone; reused across same host rows.,manager,Cape & Coast Premier Properties,https://www.capeandcoast.com/,reservations@capeandcoast.com,,
47,New! Gulf Front with Private Pool and Panoramic Views- Sandpiper's Retreat,Royal Destinations,4364879,,+18505340841,https://www.mapquest.com/us/florida/royal-destinations-413759259,Medium,Duplicate Property Manager/Host group found public Royal Destinations listing with phone and official website; reused across same host rows.,manager,Royal Destinations,https://www.royaldestinations.com/,,,
48,Family Reunion Compound - Great for Groups! Large pool.,Vacation Homes of Key West,4471078,,+13052947358,https://ns3.vacationhomesofkeywest.com/contact-us.html,Medium,Duplicate Property Manager/Host group found Vacation Homes of Key West contact page with local phone; reused across same host rows.,manager,Vacation Homes of Key West,https://vacationhomesofkeywest.com/,info@vhkw.com,,
49,"Enjoy WaterColor with Beach Club Access, Golf Cart, and Private Pool for a Relaxing Vacation!",Sanders Beach Rentals,4553923,,+18664603195,https://www.sandersbeachrentals.com/,Medium,Duplicate Property Manager/Host group found Sanders Beach Rentals official site with public phone; reused across same host rows.,manager,Sanders Beach Rentals,https://www.sandersbeachrentals.com/,,,
50,Burnt Bottom - Private Beach Boardwalk + Pool,Holiday Beach Rentals,13632266,,+18447223224,https://www.holidaybeachrentals.com/contact-information/,Medium,Duplicate Property Manager/Host group found Holiday Beach Rentals official contact page with toll-free phone; reused across same host rows.,manager,Holiday Beach Rentals,https://www.holidaybeachrentals.com/,info@holidaybeachrentals.com,,
51,French Kiss - Beachfront + Private Pool,Holiday Beach Rentals,14728760,,+18447223224,https://www.holidaybeachrentals.com/contact-information/,Medium,Duplicate Property Manager/Host group found Holiday Beach Rentals official contact page with toll-free phone; reused across same host rows.,manager,Holiday Beach Rentals,https://www.holidaybeachrentals.com/,info@holidaybeachrentals.com,,
52,Saler Shores: Gulf Front Home! Pool! Game Room!,Diamond Gulf Rentals,14868276,,+18502705232,https://www.diamondgulfrentals.com/contact-us/,Medium,Duplicate Property Manager/Host group found Diamond Gulf Rentals official contact page with phone; reused across same host rows.,manager,Diamond Gulf Rentals,https://www.diamondgulfrentals.com/,,,
53,Sol Mate | Beach Front with Large Private Pool,Beach Reunion,16028302,,+18506504544,https://www.beachreunion.com/contact,Medium,Duplicate Property Manager/Host group found Beach Reunion official contact page with phone; reused across same host rows.,manager,Beach Reunion,https://www.beachreunion.com/,rentals@beachreunion.com,,
54,Sunset Gulf – Luxury Siesta Key Retreat with,SKLRP And LKV,20071253,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
55,Home with Gulf-facing Balconies! - Sunset View,SKLRP And LKV,20071256,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
56,"Private Home with Heated Pool, Slide, and Spa",SKLRP And LKV,20071257,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
57,Resort Style Backyard! Private Dock - Sea Spray,SKLRP And LKV,20071265,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
58,Stunning Home Just One Block From Siesta Key Beach,SKLRP And LKV,20071268,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
59,Roosevelt Cottage,San Cap Island Vacation Rentals,20760784,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
60,Luxury Homes ~ 2 Stunning Homes ~ Private Pool,Historic Key West Vacation Rentals,21579744,,+13052961010,https://www.historickeywestvacationrentals.com/contact,Medium,Duplicate Property Manager/Host group found Historic Key West Vacation Rentals official contact page with phone; reused across same host rows.,manager,Historic Key West Vacation Rentals,https://www.historickeywestvacationrentals.com/,bookings@historickw.com,,
61,Multi-home 6BR tropical paradise with large pool,Vacasa,21722753,,+18005440300,https://www.vacasa.com/support,Medium,Duplicate Property Manager/Host group found Vacasa official support page with guest support phone; reused across same host rows.,manager,Vacasa,https://www.vacasa.com/,info@vacasa.com,,
62,Casa Victoria at Old Town,Last Key,21996911,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
63,Southernmost Hospitality V on Duval,Last Key,21996916,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
64,Star of the Seaport at Old Town,Last Key,21996917,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
65,**THE ROYAL COMPOUND @ THE ANNEX** Lush Estate & Pool + LAST KEY SERVICES...,Last Key,22374846,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
66,The Front Row: Gulf Front Home with Pool & Spa!,Diamond Gulf Rentals,22379365,,+18502705232,https://www.diamondgulfrentals.com/contact-us/,Medium,Duplicate Property Manager/Host group found Diamond Gulf Rentals official contact page with phone; reused across same host rows.,manager,Diamond Gulf Rentals,https://www.diamondgulfrentals.com/,,,
67,New Latitude - home features six bedrooms all with,Dream Vacation Rentals,22598858,,+12394721715,https://www.allbiz.com/business/dream-vacation-rentals-239-472-1715,Medium,Duplicate Property Manager/Host group found public Dream Vacation Rentals business listing with phone and matching Captiva/Sanibel rental business.,manager,Dream Vacation Rentals,https://www.dreamvaycay.com/,reservations@dreamvaycay.com,,
68,Large Luxury Home with Pool!,Hodnett Cooper Vacation Rentals,23743468,,+18444028686,https://www.hodnettcooper.com/contact-us/,Medium,Duplicate Property Manager/Host group found Hodnett Cooper Vacation Rentals official contact page with phone; reused across same host rows.,manager,Hodnett Cooper Vacation Rentals,https://www.hodnettcooper.com/,,,
69,Giant's Rest,RedAwning,23775545,,+18887332964,https://www.redawning.com/contact,Medium,Duplicate Property Manager/Host group found RedAwning official contact page with guest support phone; reused across same host rows.,manager,RedAwning,https://www.redawning.com/,,,
70,"Prime Location, Pool, Waterslide! - Summer House",SKLRP And LKV,24240763,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
71,Gulf Front with Private Pool + Daily Beach Service,30A Escapes,24796964,,+18884736830,https://www.30aescapes.com/30a-frequently-asked-questions,Medium,Duplicate Property Manager/Host group found 30A Escapes FAQ with guest phone; reused across same host rows.,manager,30A Escapes,https://www.30aescapes.com/,,,
72,"Nifty Shades of Gray | Beachfront | chairs, bikes",Paradise30A,26536221,,+18505887136,https://www.paradise30a.com/contact-us/,Medium,Duplicate Property Manager/Host group found Paradise Properties / Paradise30A official contact page with phone; reused across same host rows.,manager,Paradise Properties Vacation Rentals & Sales,https://www.paradise30a.com/,bookit@paradise30a.com,,
73,"Home w/ Waterslide, Heated Pool and Spa!",SKLRP And LKV,27021926,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
74,**ALL TOGETHER NOW @ OLD TOWN** Three Homes & Pools + LAST KEY SERVICES…,Last Key,28663495,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
75,"Yolo Combo OCEAN VIEWS, Heart of Rosemary Beach!",Love to Stay 30A,29542513,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
76,"Luxurious Ocean Front Condos, All Three Floors!",Hodnett Cooper Vacation Rentals,32893914,,+18444028686,https://www.hodnettcooper.com/contact-us/,Medium,Duplicate Property Manager/Host group found Hodnett Cooper Vacation Rentals official contact page with phone; reused across same host rows.,manager,Hodnett Cooper Vacation Rentals,https://www.hodnettcooper.com/,,,
77,**SUMMER SOLSTICE @ OLD TOWN** Unique 9BR/9.5BA Compound + LAST KEY SERVICES…,Last Key,33094848,,+13052926266,https://www.lastkeyrealty.com/contact-us,Medium,Duplicate Property Manager/Host group found Last Key Realty official contact page with phone; reused across same host rows.,manager,Last Key Realty,https://www.lastkeyrealty.com/,,,
78,Home with Pool and Rooftop Deck - Siesta Palooza,SKLRP And LKV,34570562,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
79,"5 bedroom, 3 bathroom beach house.",ERA Fernandina Beach Realty,35031268,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
80,"Beach Therapy, Stunning GULF VIEW, Steps to Pool and Beach, 6 Bikes!",30A Cottages And Concierge,35736912,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
81,30A Beach Home with Private Pool | Chef's Kitchen,ITrip Vacations,35880310,,,,,No confirmed public phone captured in this pass; left blank rather than guessing.,,,,,,
82,Its About Time,Five Star Gulf Rentals,36140119,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
83,Seaclusion - Beachfront Home with Private Pool,Five Star Gulf Rentals,36140185,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
84,Not the Norm - Oceanfront Home with Private Pool,Five Star Gulf Rentals,36140282,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
85,Verona - Huge Ocean Front Home with Private Pool,Five Star Gulf Rentals,36140294,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
86,Sanctuary at Frangista Beach,Five Star Gulf Rentals,36140344,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
87,Luxury backyard w/Pool+Rooftop Deck! Blue Paradise,SKLRP And LKV,37596409,,+19413491125,https://www.siestakeyluxuryrentalproperties.com/about-us/,Medium,Duplicate Property Manager/Host group matches Siesta Key Luxury Rental Properties / Lido Key Vacations inventory; official site lists this phone.,manager,Siesta Key Luxury Rental Properties,https://www.siestakeyluxuryrentalproperties.com/,,,
88,Pelican Paradise,Scenic Stays,38700493,,+18503907511,https://myscenicstays.com/contact-us,Medium,Duplicate Property Manager/Host group found Scenic Stays official contact page with phone; reused across same host rows.,manager,Scenic Stays,https://myscenicstays.com/,,,
89,Castawaves - Huge Luxury Home with Pool & Backyard,Five Star Gulf Rentals,39388254,,+18002082324,https://www.fivestargulfrentals.com/group-vacation-accommodations-destin/,Medium,Duplicate Property Manager/Host group found Five Star Gulf Rentals page with public reservations phone; reused across same host rows.,manager,Five Star Gulf Rentals,https://www.fivestargulfrentals.com/,info@fivestargulfrentals.com,,
